City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,floro,61.5996,5.0328,42.76,52,75,12.66,NO,1700332128
84,eagle mountain,40.3141,-112.0069,51.57,72,51,1.01,US,1700331949
85,west island,-12.1568,96.8225,78.78,73,40,8.05,CC,1700332129
86,grantsville,40.5999,-112.4644,53.6,88,56,5.03,US,1700332130
87,dudinka,69.4058,86.1778,1.62,100,97,4.52,RU,1700332130
88,brookings,44.3114,-96.7984,57.38,50,0,10.36,US,1700332131
89,nar'yan-mar,67.6713,53.087,14.11,96,94,8.01,RU,1700332132
90,nema,57.5067,50.5011,21.58,69,30,8.08,RU,1700332133
91,ushuaia,-54.8,-68.3,38.82,75,75,13.8,AR,1700332133
92,edinburgh of the seven seas,-37.0676,-12.3116,55.6,80,28,34.78,SH,1700332134
93,minas de marcona,-15.2119,-75.1103,69.31,53,23,16.02,PE,1700332135
94,bilibino,68.0546,166.4372,-8.59,100,97,2.15,RU,1700332136
95,ola,59.5833,151.2833,15.28,84,100,8.72,RU,1700332137
96,warri,5.5167,5.75,80.38,82,91,5.23,NG,1700332137
97,colon,9.3592,-79.9014,74.91,94,100,5.01,PA,1700332138
98,vitorino freire,-4.0667,-45.1667,99.95,29,90,7.31,BR,1700332089
99,griffith,41.5284,-87.4237,52.11,36,0,12.66,US,1700332139
100,savanna-la-mar,18.219,-78.1332,85.95,70,54,10.25,JM,1700332140
101,punta arenas,-53.15,-70.9167,42.91,49,100,16.11,CL,1700331951
102,wailua homesteads,22.0669,-159.378,70.86,89,100,5.75,US,1700332142
103,nyurba,63.2842,118.3319,-2.58,98,100,1.86,RU,1700332142
104,munuf,30.4658,30.9316,70.16,50,0,9.06,EG,1700331962
105,okhotsk,59.3833,143.3,16.23,91,100,14.56,RU,1700332144
106,san antonio de pale,-1.4014,5.6325,80.49,82,97,13.18,GQ,1700332145
107,black point,-34.6187,137.8972,58.26,85,3,10.94,AU,1700332145
108,charters towers,-20.1,146.2667,70.12,83,66,12.33,AU,1700332146
109,badger,64.8,-147.5333,3.99,87,100,0.0,US,1700332147
110,emerald,-23.5333,148.1667,71.35,82,100,13.6,AU,1700332148
111,mount gambier,-37.8333,140.7667,47.07,97,41,2.28,AU,1700332149
112,coahuayana de hidalgo,18.7,-103.6583,88.66,62,29,5.08,MX,1700332149
113,novaya igirma,57.1334,103.9112,18.77,97,97,3.65,RU,1700332150
114,pechora,65.1472,57.2244,10.85,95,100,7.0,RU,1700332151
115,saint-paul,-21.0096,55.2707,73.51,73,27,4.65,RE,1700332152
116,san-pedro,4.7485,-6.6363,79.72,82,59,4.7,CI,1700332153
117,avarua,-21.2078,-159.775,73.45,78,75,10.36,CK,1700332153
118,puerto baquerizo moreno,-0.9,-89.6,81.59,83,20,11.5,EC,1700332154
119,ilulissat,69.2167,-51.1,35.62,44,40,24.16,GL,1700332156
120,grand falls-windsor,48.9332,-55.6649,52.5,89,95,8.01,CA,1700332157
121,thompson,55.7435,-97.8558,24.96,74,100,4.61,CA,1700332158
122,sola,-13.8833,167.55,81.16,81,72,17.6,VU,1700332158
123,invercargill,-46.4,168.35,52.02,77,100,5.99,NZ,1700332159
124,nova sintra,14.8667,-24.7167,75.25,67,53,12.64,CV,1700332160
125,bethel,41.3712,-73.414,52.9,51,0,10.36,US,1700332161
126,chyhyryn,49.0838,32.6555,36.64,74,100,17.31,UA,1700332161
127,duncan,34.5023,-97.9578,67.37,46,0,0.0,US,1700331980
128,mount darwin,-16.7725,31.5838,81.3,25,2,4.92,ZW,1700332163
129,basoko,1.2391,23.616,76.71,83,94,0.83,CD,1700332163
130,kingston,17.997,-76.7936,85.21,79,40,9.22,JM,1700331742
